input_text,intent,subject,action,concept,split
What did My dad say,question,other,communicate,none,validation
"So, you all need painkillers.",statement,you,need,painkillers,train
He needs a flash drive,statement,other,need,unknown_concept,test
"Um, my mom doesn't need food.",statement,other,need,food,train
She's gonna help you.,statement,other,do,none,train
Me am walking to the bus.,statement,me,move,bus,train
She is going somewhere.,statement,other,move,none,train
Your dad is showering,statement,other,do,none,train
What is My mom doing,question,other,do,none,train
I'm looking for something.,statement,me,do,none,train
Emergency!,alert,you,danger,none,train
Me am reading.,statement,me,do,none,test
Could you slow down?,request,you,communicate,none,train
Is He tired,question,other,feel,tired,train
What's up,question,you,communicate,none,train
I'm going to figure this out,statement,me,do,none,train
We're low on food.,statement,me,need,food,test
"So, could you clarify that?",request,you,communicate,none,train
My dad is sorting mail.,statement,other,do,none,train
Is He tired?,question,other,feel,tired,train
I'm going to the park,statement,me,move,unknown_concept,train
My dad is heading to the bus,statement,other,move,bus,train
Does My mom need food?,question,other,need,food,validation
There's a fire right in front of you,alert,you,danger,fire,train
"Um, give me the bathroom.",request,me,need,bathroom,train
"So, my mom is singing.",statement,other,do,none,train
"Don't move, fire nearby",alert,you,danger,fire,train
You going to the workshop?,question,you,move,unknown_concept,train
Me go to the bus.,statement,me,move,bus,train
"Me need food, please.",request,me,need,food,train
My mom should watch out,alert,other,danger,none,train
One more time.,request,you,communicate,none,train
Do You guys want bathroom?,question,you,need,bathroom,train
Broken glass ahead,alert,you,danger,none,train
I'm cleaning,statement,me,do,none,train
I'm goin' to the pharmacy.,statement,me,move,unknown_concept,train
I need a battery pack.,request,me,need,unknown_concept,train
They don't need anything.,statement,other,need,none,validation
They're almost done.,statement,other,do,none,train
Hand me my food,request,me,need,food,train
I'm gonna check something.,statement,me,do,none,train
"Uh, you need wallet.",statement,you,need,wallet,train
I'm on a call.,statement,me,do,none,train
Would you mind getting my medicine?,request,you,need,medicine,train
Never mind,statement,me,communicate,none,train
Florn,statement,me,communicate,unknown_concept,train
"Um, you all aren't sick.",statement,you,feel,sick,train
Do you need the transistor?,question,you,need,unknown_concept,validation
"Um, i'm going to the bus.",statement,me,move,bus,train
My mom should watch out.,alert,other,danger,none,train
They don't need phone.,statement,other,need,phone,train
"Don't move, pole nearby",alert,you,danger,pole,test
"Um, i really need keys.",request,me,need,keys,train
Would now work,question,you,communicate,none,test
I'm writing.,statement,me,do,none,train
You guys don't need water,statement,you,need,water,train
Me feel happy.,statement,me,feel,happy,train
"Uh, where's the phone?",question,you,need,phone,validation
Train coming your way.,alert,you,danger,train,train
"Um, i don't need painkillers.",statement,me,need,painkillers,validation
We're not going anywhere.,statement,me,move,none,train
I see a fire ahead of you,alert,me,danger,fire,train
Give me the capacitor.,request,me,need,unknown_concept,test
Are you gonna the salon?,question,you,move,unknown_concept,train
Do you need bluewidget,question,you,need,unknown_concept,test
"So, i think there's a pole nearby.",alert,me,danger,pole,train
Do you need hyperdrive,question,you,need,unknown_concept,test
He's gonna finish this.,statement,other,do,none,train
We want to go to the bus.,statement,me,move,bus,train
He is exercising.,statement,other,do,none,train
Would you mind getting my wallet?,request,you,need,wallet,train
I'm gonna the mall.,statement,me,move,unknown_concept,train
Where is she going,question,other,move,none,train
I'm listening to something.,statement,me,do,none,train
"Well, does They need wallet?",question,other,need,wallet,train
Are you walking?,question,you,do,none,train
"So, do You all need phone?",question,you,need,phone,train
You are cold,statement,you,feel,cold,train
Fetch my wallet.,request,me,need,wallet,train
Can you point to it,request,you,communicate,none,train
Me am walking to the train.,statement,me,move,train,train
Broken glass ahead.,alert,you,danger,none,train
"Uh, this is an emergency.",alert,you,danger,none,train
I need a circuit board,request,me,need,unknown_concept,train
Can you point to it?,request,you,communicate,none,train
Go to the hospital.,request,you,move,hospital,validation
We feel sad.,statement,me,feel,sad,validation
"We need bathroom, please",request,me,need,bathroom,train
Do you need the screwdriver?,question,you,need,unknown_concept,validation
Are you happy,question,you,feel,happy,train
I'm kind of sad,statement,me,feel,sad,train
Is My dad sad,question,other,feel,sad,train
They are dancing,statement,other,do,none,train
"Okay, me am cooking.",statement,me,do,none,train
"Um, would you like painkillers?",question,you,need,painkillers,train
My dad disagrees,statement,other,communicate,none,validation
My mom is napping.,statement,other,do,none,train
I go to the school.,statement,me,move,school,train
They don't need food,statement,other,need,food,train
Are you showering?,question,you,do,none,train
He doesn't need painkillers,statement,other,need,painkillers,train
They is going to the hospital,statement,other,move,hospital,train
